AssemblyCenter,Date,Component,Type,subtype,Qty,Vendor
Mawai,2015-11-04,LoadWire,M,1,1,
Mawai,2015-11-04,SolarPanel,M,1,1,
Mawai,2015-11-08,GooseNeck,M,1,4,
Mawai,2015-11-08,LEDFace,M,1,13,
Mawai,2015-11-08,LEDReflector,M,1,13,
Mawai,2015-11-08,LEDStrip,M,1,7,
Mawai,2015-11-08,LEDTop,M,1,13,
Mawai,2015-11-08,LoadWire,M,1,17,
Mawai,2015-11-08,PushButton,M,1,4,
Mawai,2015-12-05,Battery,M,1,7,
Mawai,2015-12-05,GooseNeck,M,1,3,
Mawai,2015-12-05,LEDFace,M,1,9,
Mawai,2015-12-05,LEDReflector,M,1,9,
Mawai,2015-12-05,LEDTop,M,1,9,
Mawai,2015-12-05,LoadWire,M,1,24,
Mawai,2015-12-05,PCB,M,1,6,
Mawai,2015-12-05,PushButton,M,1,11,
Mawai,2015-12-05,SolarPanel,M,1,4,
Mawai,2015-12-05,SolarPanel,P,1,12,
Mawai,2015-12-31,BaseBottom,M,1,4,
Mawai,2015-12-31,BaseTop,M,1,4,
Mawai,2015-12-31,Battery,M,1,4,
Mawai,2015-12-31,Battery,P,1,1,
Mawai,2015-12-31,GooseNeck,M,1,5,
Mawai,2015-12-31,LEDFace,M,1,7,
Mawai,2015-12-31,LEDReflector,M,1,7,
Mawai,2015-12-31,LEDTop,M,1,7,
Mawai,2015-12-31,LoadWire,M,1,3,
Mawai,2015-12-31,PCB,M,1,7,
Mawai,2015-12-31,PushButton,M,1,9,
Mawai,2015-12-31,SolarPanel,M,1,6,
Mawai,2016-01-04,LEDStrip,T,1,2,
Mawai,2016-01-04,SolarPanel,T,1,5,
Mohgaon,2015-11-09,BaseTop,P,1,1,
Mohgaon,2015-11-09,Battery,P,1,256,
Mohgaon,2015-11-09,Battery,T,1,60,
Mohgaon,2015-11-09,GooseNeck,M,1,1,
Mohgaon,2015-11-09,LEDFace,M,1,48,
Mohgaon,2015-11-09,LEDFace,P,1,6,
Mohgaon,2015-11-09,LEDReflector,M,1,48,
Mohgaon,2015-11-09,LEDReflector,P,1,3,
Mohgaon,2015-11-09,LEDStrip,M,1,2,
Mohgaon,2015-11-09,LEDTop,M,1,48,
Mohgaon,2015-11-09,LEDTop,P,1,2,
Mohgaon,2015-11-09,LoadWire,M,1,6,
Mohgaon,2015-11-09,LoadWire,P,1,5,
Mohgaon,2015-11-09,PCB,T,1,52,
Mohgaon,2015-11-09,SolarPanel,M,1,1,
Mohgaon,2015-11-09,SolarPanel,P,1,29,
Mohgaon,2015-11-09,SolarPanel,T,1,32,
Mohgaon,2015-11-15,BaseTop,P,1,7,
Mohgaon,2015-11-15,Battery,M,1,6,
Mohgaon,2015-11-15,Battery,P,1,41,
Mohgaon,2015-11-15,Battery,T,1,9,
Mohgaon,2015-11-15,GooseNeck,P,1,1,
Mohgaon,2015-11-15,LEDFace,P,1,1,
Mohgaon,2015-11-15,LEDReflector,P,1,1,
Mohgaon,2015-11-15,LoadWire,P,1,5,
Mohgaon,2015-11-15,PackageBox,M,1,305,
Mohgaon,2015-11-15,PackageBox,P,1,3,
Mohgaon,2015-11-15,PCB,M,1,23,
Mohgaon,2015-11-15,SolarPanel,P,1,49,
Mohgaon,2015-11-15,SolarPanel,T,1,46,
Mohgaon,2015-12-08,BaseBottom,P,1,4,
Mohgaon,2015-12-08,BaseTop,P,1,4,
Mohgaon,2015-12-08,Battery,M,1,3,
Mohgaon,2015-12-08,GooseNeck,M,1,3,
Mohgaon,2015-12-08,LEDFace,P,1,9,
Mohgaon,2015-12-08,LEDReflector,P,1,3,
Mohgaon,2015-12-08,LEDStrip,M,1,24,
Mohgaon,2015-12-08,LEDTop,P,1,4,
Mohgaon,2015-12-08,LoadWire,M,1,11,
Mohgaon,2015-12-08,PackageBox,M,1,7,
Mohgaon,2015-12-08,PCB,M,1,13,
Mohgaon,2015-12-08,PushButton,M,1,5,
Mohgaon,2015-12-08,SolarPanel,P,1,2,
Mohgaon,2015-12-14,Battery,T,1,1,
Mohgaon,2015-12-14,PCB,T,1,2,
Mohgaon,2015-12-14,SolarPanel,T,1,3,
Mohgaon,2015-12-16,Battery,T,1,7,
Mohgaon,2015-12-16,PCB,T,1,3,
Mohgaon,2015-12-17,PCB,T,1,1,
Mohgaon,2015-12-17,SolarPanel,T,1,3,
Mohgaon,2015-12-18,Battery,T,1,3,
Mohgaon,2015-12-18,PCB,T,1,4,
Mohgaon,2015-12-18,SolarPanel,T,1,2,
Mohgaon,2015-12-19,LEDStrip,T,1,1,
Mohgaon,2015-12-19,PCB,T,1,4,
Mohgaon,2015-12-19,SolarPanel,T,1,1,
Mohgaon,2015-12-28,Battery,M,1,3,
Mohgaon,2015-12-28,GooseNeck,M,1,2,
Mohgaon,2015-12-28,GooseNeck,P,1,2,
Mohgaon,2015-12-28,LEDFace,M,1,5,
Mohgaon,2015-12-28,LEDReflector,M,1,5,
Mohgaon,2015-12-28,LEDTop,M,1,5,
Mohgaon,2015-12-28,LoadWire,M,1,17,
Mohgaon,2015-12-28,LoadWire,P,1,1,
Mohgaon,2015-12-28,PCB,M,1,2,
