Block Name,Date of Distribution,Qty Distributed,,,,Sum of Qty Distributed,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,05-11-2015,133,,,,Row Labels,Amla,Beohari,Bhainsdehi,Bhimpur,Bijadandi,Boriguma,Chotisarvan,Dabugam,Garhi,Ghatol,Igatpuri,Jaisinghnagar,Jharigam,Mawai,Mohgaon,Multai,Nandahandi,Narayanganj,Peint,Pipalkhoont,Prabhat,Surgana,Tentulikhunti,Trimbak,Umerkote,Grand Total
Mohgaon,07-11-2015,183,,,,05-11-2015,,,,,,,,,,,,,,133,,,,,,,,,,,,133
Mawai,07-11-2015,239,,,,07-11-2015,,,,,,,,,,,,,,239,183,,,,,,,,,,,422
Mohgaon,16-11-2015,860,,,,16-11-2015,,,,,,,,,,,,,,400,860,,,,,,,,,,,1260
Mawai,16-11-2015,400,,,,17-11-2015,,,,,,,,,,,,,,1155,421,,,,,,,,,,,1576
Mawai,17-11-2015,1155,,,,18-11-2015,,,,,,,,,,,,,,182,78,,,,,,,,,,,260
Pipalkhoont,21-12-2015,266,,,,04-12-2015,,,,,,,,,26,,,,,,80,,,,16,,,,,,,122
Mohgaon,17-11-2015,421,,,,05-12-2015,,,,,,,,,220,,,,,,,,,,127,,,164,,,,511
Mohgaon,18-11-2015,78,,,,06-12-2015,,,,,,,,,,,,,,,,,,,,,,225,,,,225
Mawai,18-11-2015,182,,,,07-12-2015,,,,,,,,,441,103,,,,,,,,,90,,,47,,,,681
Mohgaon,11-12-2015,128,,,,08-12-2015,,,,,,,100,,176,474,,,,,,,,,,,,,,,,750
Garhi,04-12-2015,26,,,,09-12-2015,161,,52,,,,146,,104,325,,101,,,,,,,367,,,,,,,1256
Chotisarvan,08-12-2015,100,,,,10-12-2015,,,154,,,,,,,,,35,,,,,,,,,,86,,,,275
Garhi,05-12-2015,220,,,,11-12-2015,,,86,,,,101,,,39,,125,,,128,141,,,,,,,,,,620
Ghatol,07-12-2015,103,,,,12-12-2015,33,,,,,,328,,,44,,133,,,91,7,,,,,,,,,,636
Garhi,07-12-2015,441,,,,14-12-2015,,75,292,,,,50,,,147,,118,,400,,,,,,,,,,96,,1178
Peint,09-12-2015,367,,,,15-12-2015,,,,,,48,,,172,86,,10,,506,,,,,,222,,,,265,,1309
Peint,04-12-2015,16,,,,16-12-2015,,39,,,,64,197,,167,496,,130,123,470,,,,,,165,26,,,70,,1947
Peint,07-12-2015,90,,,,17-12-2015,,157,,315,,98,140,,,,83,543,70,,191,,,360,,110,17,,,150,,2234
Mohgaon,04-12-2015,80,,,,18-12-2015,200,23,,,,395,18,,60,365,127,251,138,,224,,23,171,,163,70,179,93,448,79,3027
Ghatol,08-12-2015,474,,,,19-12-2015,,109,,,,394,178,,218,393,158,97,30,,181,234,,275,,201,,,,86,271,2825
Garhi,08-12-2015,176,,,,21-12-2015,320,137,,73,,271,420,,100,462,311,,54,,,338,125,,411,266,200,463,0,367,80,4398
Ghatol,09-12-2015,325,,,,22-12-2015,20,131,,477,,86,,128,346,34,600,,108,,172,155,176,,733,295,185,355,,,173,4174
Jaisinghnagar,09-12-2015,101,,,,23-12-2015,49,227,,,,,,,220,,,,,,168,,,,515,66,150,,,,,1395
Chotisarvan,09-12-2015,146,,,,24-12-2015,,,288,69,,,,,29,,,,,,,,,,,,,,,,,386
Garhi,09-12-2015,104,,,,25-12-2015,,,,,,,,,30,,,,,,,,,,,,,,,,,30
Peint,05-12-2015,127,,,,28-12-2015,,189,,,,,,,,,45,305,,,2,,,89,152,,130,107,,,,1019
Surgana,05-12-2015,164,,,,29-12-2015,585,82,,,,,,,,,97,399,,,,240,,,338,,165,490,,,,2396
Surgana,06-12-2015,225,,,,30-12-2015,530,345,248,525,,,,,,,86,285,,,,129,,,397,,287,500,,16,,3348
Surgana,10-12-2015,86,,,,31-12-2015,120,269,,853,,,,,,,,331,,,156,214,,,320,,,20,,,,2283
Jaisinghnagar,10-12-2015,35,,,,01-01-2016,120,221,,,,,,,,,,90,,,215,120,,,104,,266,427,,,,1563
Amla,09-12-2015,161,,,,02-01-2016,210,110,973,455,,,,,,,,91,,,289,136,,,,,466,163,,,,2893
Ghatol,11-12-2015,39,,,,04-01-2016,370,210,174,,,,,,,,,,,,224,153,,307,332,,212,228,,,,2210
Jaisinghnagar,11-12-2015,125,,,,05-01-2016,120,120,299,82,,,,50,,,126,,,520,170,240,,377,499,,292,366,,,,3261
Multai,12-12-2015,7,,,,06-01-2016,115,166,,299,,,,,,,,28,100,640,,50,,,332,,334,781,,,60,2905
Chotisarvan,11-12-2015,101,,,,07-01-2016,502,212,,,,,,29,,,72,,40,161,84,170,60,292,580,,647,284,,229,70,3432
Chotisarvan,12-12-2015,328,,,,08-01-2016,391,233,,,,108,,21,,,41,,174,70,149,50,54,,227,,80,265,60,451,40,2414
Ghatol,12-12-2015,44,,,,09-01-2016,321,,,,,80,,,,,25,,113,,107,160,2,193,313,,240,540,40,203,,2337
Jaisinghnagar,12-12-2015,133,,,,11-01-2016,502,,1405,1394,,255,,,,,137,,80,,48,250,176,295,565,,270,,90,440,,5907
Mohgaon,12-12-2015,91,,,,12-01-2016,280,,357,150,300,398,,320,,,121,,512,,,50,324,,378,175,164,,245,,,3774
Bhainsdehi,11-12-2015,86,,,,13-01-2016,557,,350,463,,408,,154,98,287,154,,591,,,350,115,,401,245,465,470,282,889,251,6530
Bhainsdehi,10-12-2015,154,,,,14-01-2016,407,,500,725,,402,,20,78,319,680,,,,,710,261,75,,200,530,1402,98,578,,6985
Bhainsdehi,09-12-2015,52,,,,15-01-2016,1050,,250,850,,,,,,200,,0,,,,980,,,,100,250,,,,,3680
Trimbak,14-12-2015,96,,,,16-01-2016,220,,230,610,,,,,,,,90,,,,310,164,,237,,280,,97,,,2238
Ghatol,14-12-2015,147,,,,18-01-2016,110,,100,300,,,,104,78,576,,345,,,,405,116,,344,273,150,,155,,,3056
Jaisinghnagar,14-12-2015,118,,,,19-01-2016,90,145,,450,,,,193,300,738,,339,,,,410,164,,,362,300,,161,,,3652
Beohari,14-12-2015,75,,,,20-01-2016,,,,,,,10,,,,,,,,,,,,,,,,,,,10
Chotisarvan,14-12-2015,50,,,,18-12-2016,,,,,,,,,,,,,,,,,0,,,,,,,,,0
Boriguma,15-12-2015,48,,,,21-12-2016,,,,,,,,,,,,,,,,,0,,,,,,,,,0
Ghatol,15-12-2015,86,,,,31-12-2016,,,,,,,,,,,,,,,,,,,,,215,,,,,215
Garhi,15-12-2015,172,,,,Grand Total,7383,3200,5758,8090,300,3007,1688,1019,2863,5088,2863,3846,2133,4876,4221,6002,1760,2434,7778,2843,6391,7562,1321,4288,1024,97738
Jaisinghnagar,15-12-2015,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,16-12-2015,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,15-12-2015,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,13-01-2016,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,29-12-2015,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,29-12-2015,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,13-01-2016,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,13-01-2016,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,16-12-2015,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijadandi,12-01-2016,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,16-12-2015,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,15-12-2015,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,16-12-2015,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,16-12-2015,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
