"Center Name",Vendor,"PoQty "
Beohari,G1,1600
Beohari,G1,1600
Beohari,S1,8000
Betul,S1,600
Betul,S1,2000
Betul,S1,80
Betul,S1,5000
Betul,S1,6000
Betul,S1,8000
Boriguma,S1,4600
Boriguma,S1,400
Boriguma,S1,1000
Chotisarvan,G1,80
Chotisarvan,G1,1000
Chotisarvan,G1,1000
Chotisarvan,S1,6828
Garhi,G1,1000
Garhi,G1,1600
Garhi,G1,820
Garhi,G1,80
Ghatol,G1,180
Ghatol,G1,1000
Ghatol,G1,2000
Ghatol,G1,2000
Igatpuri,S1,3000
Igatpuri,S1,600
Igatpuri,S1,1000
Jaisinghnagar,G1,1600
Jaisinghnagar,G1,1600
Jaisinghnagar,S1,8000
Jaisinghnagar,G1,80
Mawai,G1,2000
Mawai,G1,160
Mawai,G1,1400
Mawai,G1,1400
Mohgaon,G1,1400
Mohgaon,G1,2000
Mohgaon,G1,1400
Multai,S1,260
Multai,S1,300
Multai,S1,5000
Multai,S1,6000
Multai,S1,8000
Multai,S1,1800
Multai,S1,200
Nabrangpur,S1,3000
Nabrangpur,S1,80
Nabrangpur,S1,400
Nabrangpur,S1,3000
Narayanganj,G1,1000
Narayanganj,G1,2000
Narayanganj,G1,80
Narayanganj,G1,6000
Peint,S1,600
Peint,S1,2000
Peint,S1,4000
Peint,S1,3000
Peint,S1,80
Pipalkhoont,G1,1000
Pipalkhoont,G1,1000
Pipalkhoont,G1,1920
Pipalkhoont,G1,1080
Surgana,S1,100
Surgana,S1,1000
Surgana,S1,4000
Surgana,S1,3000
Surgana,S1,500
Trimbak,S1,2000
Trimbak,S1,600
Trimbak,S1,1000
Trimbak,S1,3000
Trimbak,S1,972
Umerkote,S1,400
Umerkote,S1,3000
Umerkote,S1,3600
Umerkote,S1,1000
Umerkote,S1,1000


